"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Marcanti",57.8,55.9,65.4
"Marine-Etablissement",48,46.9,50.7
"Marjoleinterrein",59,59.3,56
"Markengouw Midden",64.9,65.3,61.1
"Markengouw Zuid",65.6,66.2,60.7
"Markthallen",59.4,58,NA
"Marnixbuurt Midden",54,53.6,58.5
"Marnixbuurt Noord",59.6,59.1,61.8
"Marnixbuurt Zuid",60.4,60.4,60.4
"Medisch Centrum Slotervaart",67.7,67.6,NA
"Meer en Oever",61.5,62.5,57.7
"Mercatorpark",NA,NA,NA
"Middelveldsche Akerpolder",58.9,60,55.3
"Middeneiland Zuidoost",NA,NA,NA
"Middeneiland Zuidwest",NA,NA,NA
"Middenmeer Noord",45.8,44.5,51.2
"Middenmeer Zuid",48.2,47.1,53.9
"Minervabuurt Midden",47.5,47.7,46.8
"Minervabuurt Noord",46.4,46.7,45.6
"Minervabuurt Zuid",48.5,48.6,48
"Molenwijk",68.2,69.5,64.1
"Museumplein",NA,NA,NA
"NDSM terrein",60.5,60.6,49.9
"Nelson Mandelapark",NA,NA,NA
"Nes e.o.",58.2,59.5,44.6
"Nieuw Sloten Noordoost",54.7,55.4,52.8
"Nieuw Sloten Noordwest",55,55,55.2
"Nieuw Sloten Zuidoost",56,56.7,51.6
"Nieuw Sloten Zuidwest",48.1,48.1,48
"Nieuwe Diep/Diemerpark",44.4,43.4,47.8
"Nieuwe Kerk e.o.",59.5,59.7,57.4
"Nieuwe Meer",57.3,57.1,58.8
"Nieuwe Oosterbegraafplaats",NA,NA,NA
"Nieuwendammerdijk Oost",38.3,37.2,43.9
"Nieuwendammerdijk West",41.3,40.1,45.3
"Nieuwendammerdijk Zuid",NA,NA,NA
"Nieuwendijk Noord",63.7,63.9,61.6
"Nieuwmarkt",58.1,57.4,59.8
"Nintemanterrein",36.7,38.2,33.8
"Noorder IJplas",43.6,43.7,43.4
"Noorderstrook Oost",NA,NA,NA
"Noorderstrook West",68.4,70.4,NA
"Noordoever Sloterplas",60.5,60.6,60.1
"Noordoostkwadrant Indische buurt",63.6,62.7,67
"Noordwestkwadrant Indische buurt Noord",58.4,57.7,65.2
"Noordwestkwadrant Indische buurt Zuid",59,58,67.3
"Olympisch Stadion e.o.",56.8,56.6,57.5
"Ookmeer",NA,NA,NA
"Oostelijke Handelskade",56.3,56.5,54.4
"Oostenburg",58.2,58.1,58.9
"Oosterdokseiland",58.1,59.6,48
"Oosterpark",66.5,66.2,68.5
"Oosterparkbuurt Noordwest",59.4,58.6,64.1
"Oosterparkbuurt Zuidoost",55.7,54.9,59.9
"Oosterparkbuurt Zuidwest",62.6,61.8,66.8
"Oostoever Sloterplas",52.6,51,56.2
"Oostpoort",53.7,53.2,55.5
"Oostzanerdijk",45.7,44.6,50
"Orteliusbuurt Midden",57,56.2,63.7
"Orteliusbuurt Noord",59.9,59.2,63.7
"Orteliusbuurt Zuid",57,56.3,62.4
"Osdorp Midden Noord",69.7,70.2,67.2
"Osdorp Midden Zuid",67.3,67.9,64.1
"Osdorp Zuidoost",60.7,61.2,59.3
"Osdorper Binnenpolder",52.2,53.4,NA
"Osdorper Bovenpolder",49,50.2,45.7
"Osdorpplein e.o.",63.7,64.2,60.8
"Oude Kerk e.o.",59.3,59,61.2
"Overamstel",38.3,38.2,NA
"Overbraker Binnenpolder",NA,NA,NA
"Overhoeks",55.6,57,45.2
"Overtoomse Veld Noord",63.7,62.8,70.6
"Overtoomse Veld Zuid",60.6,60.1,64.8
"P.C. Hooftbuurt",53,54.5,47.1
"Papaverweg e.o.",48.5,48.6,47.3
"Paramariboplein e.o.",53.5,52.8,60
"Park Haagseweg",47.2,47.8,45.5
"Park de Meer",50.5,50.7,49.7
"Parooldriehoek",74,74,NA
"Passeerdersgrachtbuurt",57.5,58.1,55.4
"Petroleumhaven",NA,NA,NA
"Pieter van der Doesbuurt",58.2,57.6,63.2
"Plan van Gool",66,67,61.1
"Planciusbuurt Noord",61.1,61.2,60.4
"Planciusbuurt Zuid",64.2,64.1,64.6
