"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Wildeman",32.3,33.9,27.3
"Willemsparkbuurt Noord",14.1,14.6,11.1
"Willibrordusbuurt",21.4,21.3,21.9
"Wittenburg",21.5,22.2,18.7
"Woon- en Groengebied Sloterdijk",14.6,14.8,12.7
"Zaagpoortbuurt",24.2,24.8,18.2
"Zamenhofstraat e.o.",NA,NA,NA
"Zeeburgerdijk Oost",18.2,17.7,20.2
"Zeeburgereiland Noordoost",13.8,13,NA
"Zeeburgereiland Noordwest",11.1,13.1,NA
"Zeeburgereiland Zuidoost",24,24,NA
"Zeeburgereiland Zuidwest",20.2,20.4,NA
"Zeeheldenbuurt",21.1,21.3,19.8
"Zorgvlied",10.2,10.1,NA
"Zuidas Noord",14.8,15,10.9
"Zuidas Zuid",16.3,16.7,9.4
"Zuiderhof",18.1,18.1,NA
"Zuiderkerkbuurt",18.5,19.5,15.3
"Zuidoostkwadrant Indische buurt",27.6,27.1,30.6
"Zuidwestkwadrant Indische buurt",29.7,28.6,34.1
"Zuidwestkwadrant Osdorp Noord",28.5,27.7,31.8
"Zuidwestkwadrant Osdorp Zuid",24.8,24.8,24.5
"Zunderdorp",13,11.8,15.9
"Zwarte Gouw",NA,NA,NA
"de Plantage",15.2,16.1,12
