"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Louis Chrispijnbuurt",34.7,38.2,23.9
"Lucas/Andreasziekenhuis e.o.",38.1,38.2,NA
"Marathonbuurt Oost",32,34.4,24.1
"Marathonbuurt West",36,38,28.8
"Marcanti",32.6,32.9,31.6
"Marine-Etablissement",19.1,21.5,12.9
"Marjoleinterrein",30.8,32,18.1
"Markengouw Midden",36.2,37.5,24.9
"Markengouw Zuid",34.9,36.3,22.9
"Markthallen",34.6,33.7,NA
"Marnixbuurt Midden",29.1,29.8,21
"Marnixbuurt Noord",32,33.8,24.4
"Marnixbuurt Zuid",31.6,36.1,19.6
"Medisch Centrum Slotervaart",44.4,44.6,NA
"Meer en Oever",30,32.5,21.3
"Mercatorpark",NA,NA,NA
"Middelveldsche Akerpolder",30.2,33,21.3
"Middeneiland Zuidoost",NA,NA,NA
"Middeneiland Zuidwest",NA,NA,NA
"Middenmeer Noord",23,24.1,18.8
"Middenmeer Zuid",24.1,25.2,17.9
"Minervabuurt Midden",20.9,23.4,13
"Minervabuurt Noord",19.9,22,12.9
"Minervabuurt Zuid",21.6,24.1,13.9
"Molenwijk",36,39.5,24.8
"Museumplein",NA,NA,NA
"NDSM terrein",35.5,35.6,12.6
"Nelson Mandelapark",NA,NA,NA
"Nes e.o.",34.8,36.7,13.9
"Nieuw Sloten Noordoost",25.6,28.2,18.6
"Nieuw Sloten Noordwest",26.7,28.3,21.2
"Nieuw Sloten Zuidoost",27.5,29.2,17.9
"Nieuw Sloten Zuidwest",20,21.6,11.9
"Nieuwe Diep/Diemerpark",17.7,18.9,13.2
"Nieuwe Kerk e.o.",33,34.2,16.4
"Nieuwe Meer",28.8,29.8,21.5
"Nieuwe Oosterbegraafplaats",NA,NA,NA
"Nieuwendammerdijk Oost",15.4,16.6,9.1
"Nieuwendammerdijk West",17,18.4,12.3
"Nieuwendammerdijk Zuid",NA,NA,NA
"Nieuwendijk Noord",34.7,35.6,18
"Nieuwmarkt",29.4,32.9,21.9
"Nintemanterrein",15.3,17.5,11.1
"Noorder IJplas",16.3,19.4,11.3
"Noorderstrook Oost",NA,NA,NA
"Noorderstrook West",35.3,37.9,NA
"Noordoever Sloterplas",31.6,33,23.3
