"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Wielingenbuurt",29.2,24.8,48.5
"Wildeman",41.5,36.7,56.4
"Willemsparkbuurt Noord",27.4,23.8,45.7
"Willibrordusbuurt",34.3,29.5,55.1
"Wittenburg",36.7,32.5,52.5
"Woon- en Groengebied Sloterdijk",24.3,22.7,48.6
"Zaagpoortbuurt",33,31.2,50
"Zamenhofstraat e.o.",NA,NA,NA
"Zeeburgerdijk Oost",33.7,29.3,51.5
"Zeeburgereiland Noordoost",31.4,26.8,NA
"Zeeburgereiland Noordwest",30.3,26.8,NA
"Zeeburgereiland Zuidoost",21.8,21.7,NA
"Zeeburgereiland Zuidwest",23.2,22.6,NA
"Zeeheldenbuurt",34.4,30.5,53.6
"Zorgvlied",30.6,23.5,NA
"Zuidas Noord",23.6,22.3,47.1
"Zuidas Zuid",24.8,23.9,42.2
"Zuiderhof",19.8,19.8,NA
"Zuiderkerkbuurt",34,28.6,50.8
"Zuidoostkwadrant Indische buurt",37.1,33.2,58.9
"Zuidwestkwadrant Indische buurt",38.9,34,60.1
"Zuidwestkwadrant Osdorp Noord",35.9,30.6,58.3
"Zuidwestkwadrant Osdorp Zuid",32.3,29.6,54.6
"Zunderdorp",28.4,22.4,42.7
"Zwarte Gouw",NA,NA,NA
"de Plantage",30.4,25.1,48.4
