"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Walvisbuurt",69.9,72.3,59.2
"Waterloopleinbuurt",70.3,73.6,59.3
"Weesperbuurt",72,75.1,59.8
"Weespertrekvaart",79,79.3,73
"Weesperzijde Midden/Zuid",74.1,76.6,58.7
"Werengouw Midden",59.2,62,46.1
"Werengouw Zuid",60.5,61.4,56.4
"Westelijke eilanden",70.3,72.9,61.8
"Westerdokseiland",71.2,74.3,62.6
"Westergasfabriek",NA,NA,NA
"Westerstaatsman",69.6,71.3,46.3
"Westhaven Noord",73.4,71.6,NA
"Westhaven Zuid",NA,NA,NA
"Westlandgrachtbuurt",72.9,75.7,52.9
"Weteringbuurt",75.3,76.9,66.2
"Wielingenbuurt",76,79,62.8
"Wildeman",50.9,54.5,39.9
"Willemsparkbuurt Noord",77.7,79.7,67.3
"Willibrordusbuurt",66.1,70.6,47.2
"Wittenburg",65.4,68,55.5
"Woon- en Groengebied Sloterdijk",79.1,80.2,63
"Zaagpoortbuurt",66.1,67.3,54.9
"Zamenhofstraat e.o.",NA,NA,NA
"Zeeburgerdijk Oost",70.9,74,58.4
"Zeeburgereiland Noordoost",74.1,77.3,NA
"Zeeburgereiland Noordwest",79.3,78.2,NA
"Zeeburgereiland Zuidoost",70.5,70.5,NA
"Zeeburgereiland Zuidwest",74.1,74.3,NA
"Zeeheldenbuurt",65.8,68.7,51
"Zorgvlied",80.1,84.2,NA
"Zuidas Noord",79.1,79.7,69.2
"Zuidas Zuid",76.6,76.9,72.3
"Zuiderhof",76,76,NA
"Zuiderkerkbuurt",69.8,73.3,59.2
"Zuidoostkwadrant Indische buurt",59.8,63.4,39.1
"Zuidwestkwadrant Indische buurt",56.4,61.5,34.6
"Zuidwestkwadrant Osdorp Noord",56.9,61.8,36.2
"Zuidwestkwadrant Osdorp Zuid",64,65.9,48.1
"Zunderdorp",76.6,81.7,64.5
"Zwarte Gouw",NA,NA,NA
"de Plantage",75.8,78.7,66.1
